product_category_name_english,total_orders,late_rate
agro_industry_and_commerce,206,3.4
air_conditioning,289,3.8
art,197,6.1
arts_and_craftmanship,24,4.2
audio,363,11.6
auto,4157,7.0
baby,2990,7.7
bed_bath_table,11107,7.0
books_general_interest,536,6.2
books_imported,57,3.5
books_technical,265,7.9
cds_dvds_musicals,14,0.0
christmas_supplies,150,10.0
cine_photo,71,5.6
computers,199,5.0
computers_accessories,7707,6.5
consoles_games,1090,5.9
construction_tools_construction,918,6.3
construction_tools_lights,302,7.3
construction_tools_safety,183,2.7
cool_stuff,3727,5.8
costruction_tools_garden,234,5.6
costruction_tools_tools,103,5.8
diapers_and_hygiene,37,0.0
drinks,365,4.4
dvds_blu_ray,61,6.6
electronics,2730,7.6
fashio_female_clothing,46,6.5
fashion_bags_accessories,2004,5.3
fashion_childrens_clothes,7,0.0
fashion_male_clothing,125,5.6
fashion_shoes,260,4.2
fashion_sport,30,3.3
fashion_underwear_beach,127,9.4
fixed_telephony,256,3.9
flowers,33,3.0
food,499,7.0
food_drink,271,4.1
furniture_bedroom,103,6.8
furniture_decor,8239,7.0
furniture_living_room,499,7.2
furniture_mattress_and_upholstery,37,13.5
garden_tools,4282,6.6
health_beauty,9519,7.6
home_appliances,792,4.3
home_appliances_2,233,6.0
home_comfort_2,30,13.3
home_confort,432,9.3
home_construction,597,5.9
housewares,6819,5.0
industry_commerce_and_business,265,6.4
kitchen_dining_laundry_garden_furniture,274,4.4
la_cuisine,14,0.0
luggage_accessories,1077,4.2
market_place,305,3.6
music,38,5.3
musical_instruments,652,7.4
office_furniture,1678,8.0
party_supplies,42,0.0
perfumery,3355,6.5
pet_shop,1926,4.9
security_and_services,2,0.0
signaling_and_security,197,4.1
small_appliances,662,4.5
small_appliances_home_oven_and_coffee,73,5.5
sports_leisure,8488,6.3
stationery,2474,6.8
tablets_printing_image,83,6.0
telephony,4434,6.9
toys,4037,6.4
unknown,1567,7.4
watches_gifts,5867,7.2
