seller_state,total_orders,late_orders,late_rate,avg_delay_days
AM,3,1,33.3,9.0
BA,626,28,4.5,-12.8
CE,90,6,6.7,-13.4
DF,885,53,6.0,-13.2
ES,364,21,5.8,-13.4
GO,509,13,2.6,-14.3
MA,403,78,19.4,-11.2
MG,8646,416,4.8,-13.5
MS,50,3,6.0,-17.4
MT,144,6,4.2,-15.6
PA,8,0,0.0,-11.4
PB,37,1,2.7,-19.8
PE,445,15,3.4,-16.2
PI,11,0,0.0,-15.0
PR,8563,451,5.3,-14.2
RJ,4702,326,6.9,-12.5
RN,56,4,7.1,-13.5
RO,14,0,0.0,-24.5
RS,2180,70,3.2,-16.3
SC,4014,194,4.8,-14.2
SE,10,0,0.0,-17.3
SP,79072,5607,7.1,-11.3
